Isin;Name;LegalName;ProviderCompanyName;GlobalAssetClass;GlobalCategoryName;CategoryName;InvestmentType;Currency;DomicileName;SRRI;StarRatingM255;TER;InitialPurchase;UCITS;IndexFund;InceptionDate;VL;VLDate;ReturnD1;ReturnW1;ReturnM1;ReturnM3;ReturnM6;ReturnM0;ReturnM12;ReturnM36;ReturnM60;ReturnM120;YR_ReturnM12_1;YR_ReturnM12_2;YR_ReturnM12_3;YR_ReturnM12_4;YR_ReturnM12_5;YR_ReturnM12_6;YR_ReturnM12_7;EquityStyleBox;BondStyleBox;AverageMarketCapital;PERatio;PBRatio;PSRatio;DividendYield;AverageCreditQuality;EffectiveMaturity;R2M36;InformationRatioM36;TrackingErrorM36;AlphaM12;AlphaM36;AlphaM60;AlphaM120;BetaM12;BetaM36;BetaM60;BetaM120;BenchmarkName;ExcessD1;ExcessW1;ExcessM1;ExcessM3;ExcessM6;ExcessM0;ExcessM12;ExcessM36;ExcessM60;ExcessM120;SharpeM12;SharpeM36;SharpeM60;SharpeM120;SortinoM12;SortinoM36;SortinoM60;SortinoM120;MorningstarRiskM255;StandardDeviationM12;StandardDeviationM36;StandardDeviationM60;StandardDeviationM120;MaxDrawdownM12;MaxDrawdownM36;MaxDrawdownM60;MaxDrawdownM120;OngoingCostActual;ManagementFee;PerformanceFeeCharged;MaxFrontEndLoad;MaxRedemptionFee;TransactionFeeActual;CustodianFee;QuartileW1;QuartileM1;QuartileM3;QuartileM6;QuartileM0;QuartileM12;QuartileM36;QuartileM60;QuartileM120;CalmarM12;CalmarM36;CalmarM60;CalmarM120;YearsPositivePct;WorstYear;BeatCat;PctRV;PctRF;PctLiq;PctOtros;TipoPignor;PignCobertura;PignSalvaguarda;PignReposicion;FichaURL;fecha
LU2743114956;UI - Aktia EM Local Ccy Bd+ Share R Acc;UI - Aktia EM Local Currency Bond+ - share class R Acc;;;;;FO;EUR;Luxemburgo;;;;;False;False;2026-04-27;102.91;2026-08-26;0.11;0.54;0.41;2.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RF Global Emergente - Moneda Local;0.37;0.1;0.32;-0.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0/4;0;78.7;21.3;-0.0;Mixto RF>50%;133;133;125;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=LU2743114956&language=es&currency=EUR&channel=nbol;2026-08-28
LU1594335520;Allianz Dyn MltAst Stgy SRI75 AT EUR;Allianz Global Investors Fund - Allianz Dynamic Multi Asset Strategy SRI 75 AT EUR;Allianz Global Investors GmbH;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;Luxemburgo;4;5;1.83;0;True;False;2017-05-02;222.32;2026-08-27;-0.18;0.85;1.28;1.53;3.32;12.24;24.06;16.09;8.93;9.56;12.09;17.08;14.85;-15.61;30.82;3.81;21.47;2;5;94809.88533;14.99976;2.59;1.89;0.0201;10;7.57325;86.54;0.17;4.43;1.21;-0.7;0.2;0.29;1.31;1.16;0.97;0.97;Morningstar EU Agg Gbl Tgt Alloc NR EUR;-0.32;-0.06;-0.19;-1.24;-4.61;-0.13;6.35;0.92;0.09;0.06;1.54;0.99;0.63;0.78;2.37;1.56;0.93;1.14;4;13.29;11.41;11.5;11.41;-8.47;-10.61;-15.9;-15.98;1.83;1.85;0;5;0;0.12;;;;1;2;0;0;0;0;0;2.84;1.52;0.56;0.6;86;-15.61;4/4;96.5;14.1;-14.2;3.6;Renta Variable (>50% RV);166;140;150;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=LU1594335520&language=es&currency=EUR&channel=nbol;2026-08-28
LU0352312853;Allianz Strategy 75 CT EUR;Allianz Strategy 75 CT EUR;Allianz Global Investors GmbH;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;Luxemburgo;3;4;1.55;0;True;False;2008-07-01;372.21;2026-08-27;-0.26;0.09;2.38;3.07;4.22;9.21;16.52;12.89;6.05;7.11;8.44;12.84;18.01;-18.74;20.94;-3.65;22.89;2;4;206475.37745;18.21846;3.21;2.74;;6;1.41925;83.88;-0.64;5.06;-6.1;-4.53;-2.78;-1.64;1.36;1.18;1;0.93;Morningstar EU Agg Gbl Tgt Alloc NR EUR;-0.39;-0.82;0.92;0.31;-3.71;-3.15;-1.19;-2.28;-2.8;-2.39;1.04;0.65;0.38;0.58;1.47;0.98;0.54;0.82;4;13.34;11.87;11.8;11.27;-9.26;-10.35;-20.49;-20.49;1.55;1.65;0;0;0;0.07;;;;0;2;2;1;1;1;1;1.78;1.25;0.3;0.35;71;-18.74;4/4;104.8;66.0;-70.9;0.1;Renta Variable (>50% RV);166;140;150;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=LU0352312853&language=es&currency=EUR&channel=nbol;2026-08-28
LU0048293368;BL-Global 75 B EUR;BL-Global 75 B EUR Acc;BLI - Banque de Luxembourg Investments SA;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;Luxemburgo;3;3;1.43;0;True;False;1993-10-28;139.37;2026-08-26;-0.49;1.12;5.27;3.85;-1.39;7.82;20;11.44;6.24;6;13.53;11.34;4.84;-9.2;12.34;2.57;19.11;2;;155725.59161;16.81993;4.52;3.36;;;;40.18;-0.51;7.64;0.2;0.66;0.08;0.58;0.98;0.59;0.51;0.49;Morningstar EU Agg Gbl Tgt Alloc NR EUR;-0.62;0.21;3.81;1.09;-9.32;-4.54;2.29;-3.73;-2.61;-3.5;1.15;0.79;0.45;0.65;1.62;1.15;0.65;0.98;2;12.63;8.6;8.44;7.6;-8.74;-8.74;-9.73;-9.73;1.43;1.25;0;5;0;0.12;0.04;;;3;3;3;0;2;1;2;2.29;1.31;0.64;0.62;86;-9.2;2/4;60.5;15.5;8.1;15.9;Renta Variable (>50% RV);166;140;150;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=LU0048293368&language=es&currency=EUR&channel=nbol;2026-08-28
ES0113569018;Bankinter Platea Agresivo A FI;Bankinter Platea Agresivo A FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;4;1.92;50000;True;False;2017-09-29;172.6344;2026-08-25;0.39;-0.16;1.52;1.88;6.66;10.35;15.86;13.11;6.8;;8.6;13.74;15.19;-14.19;15.11;6.33;18.64;2;;159367.65904;16.76314;2.91;2.35;;;;94.93;-0.91;2.44;-4.5;-2.79;-2.01;;1.19;1.09;1.01;;Morningstar EU Agg Gbl Tgt Alloc NR EUR;0.26;-1.07;0.06;-0.89;-1.27;-2.01;-1.85;-2.06;-2.04;;1.16;0.83;0.48;;2.12;1.4;0.76;;3;11.24;10.24;11.1;;-5.86;-9.16;-15.93;;1.92;1.35;1;0;0;0.23;0.1;;;1;1;1;1;1;0;;2.71;1.43;0.43;;86;-14.19;3/4;93.8;0.4;5.8;0.0;Renta Variable (>50% RV);166;140;150;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113569018&language=es&currency=EUR&channel=nbol;2026-08-28
ES0113569000;Bankinter Platea Agresivo B FI;Bankinter Platea Agresivo B FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;4;1.82;200000;True;False;2015-11-20;189.0503;2026-08-25;0.39;-0.16;1.52;1.9;6.74;10.44;16;13.19;6.89;7.02;8.68;13.75;15.3;-14.1;15.33;6.48;18.77;2;;159367.65904;16.76314;2.91;2.35;;;;94.89;-0.88;2.45;-4.39;-2.73;-1.92;-2.16;1.19;1.09;1.01;0.98;Morningstar EU Agg Gbl Tgt Alloc NR EUR;0.26;-1.07;0.06;-0.87;-1.2;-1.92;-1.71;-1.98;-1.95;-2.48;1.17;0.84;0.49;0.6;2.15;1.42;0.77;0.9;3;11.25;10.25;11.1;10.99;-5.85;-9.16;-15.87;-16.87;1.82;1.25;1;0;0;0.23;0.1;;;1;1;1;1;1;0;1;2.74;1.44;0.43;0.42;86;-14.1;4/4;93.8;0.4;5.8;0.0;Renta Variable (>50% RV);166;140;150;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113569000&language=es&currency=EUR&channel=nbol;2026-08-28
ES0113569026;Bankinter Platea Agresivo R FI;Bankinter Platea Agresivo R FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;4;2.12;10;True;False;2020-03-17;181.8686;2026-08-25;0.42;-0.18;1.62;1.96;7.1;11.06;16.97;13.73;7.1;;9.01;14.54;14.91;-14.4;16.03;;;2;;159367.65904;16.76314;2.91;2.35;;;;95.16;-0.64;2.6;-4.41;-2.64;-1.86;;1.25;1.12;1.04;;Morningstar EU Agg Gbl Tgt Alloc NR EUR;0.29;-1.09;0.16;-0.81;-0.84;-1.3;-0.74;-1.44;-1.75;;1.18;0.85;0.5;;2.2;1.45;0.79;;4;11.82;10.59;11.35;;-6.09;-9.42;-16.08;;2.12;1.55;0;0;0;0.23;0.1;;;1;1;1;1;0;0;;2.79;1.46;0.44;;80;-14.4;3/4;93.8;0.4;5.8;0.0;Renta Variable (>50% RV);166;140;150;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113569026&language=es&currency=EUR&channel=nbol;2026-08-28
ES0113573028;Bankinter Platea Megatendencias A FI;Bankinter Platea Megatendencias A FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;;2.1;50000;True;False;2024-09-06;121.2896;2026-08-25;0.33;-0.89;2.14;1.66;10.13;13.53;19.51;;;;6.5;;;;;;;3;;39898.2067;20.29801;3.02;2.46;;7;0.10051;;;;-4.41;;;;1.29;;;;Morningstar EU Agg Gbl Tgt Alloc NR EUR;0.19;-1.79;0.67;-1.1;2.19;1.17;1.8;;;;1.14;;;;2.45;;;;;12.8;;;;-4.46;;;;2.1;1.25;1;;;0.24;0.1;;;1;0;0;0;;;;4.37;;;;100;6.5;1/4;89.4;0.0;6.0;4.6;Renta Variable (>50% RV);166;140;150;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113573028&language=es&currency=EUR&channel=nbol;2026-08-28
ES0113573036;Bankinter Platea Megatendencias B FI;Bankinter Platea Megatendencias B FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;;1.28;200000;True;False;2024-09-06;116.0572;2026-08-25;0.33;-0.85;2.18;1.75;9.68;9.89;15.92;;;;5.61;;;;;;;3;;39898.2067;20.29801;3.02;2.46;;7;0.10051;;;;-7.44;;;;1.29;;;;Morningstar EU Agg Gbl Tgt Alloc NR EUR;0.19;-1.76;0.71;-1.02;1.75;-2.47;-1.79;;;;0.88;;;;1.85;;;;;13.06;;;;-7.27;;;;1.28;1.15;1;;;0.24;0.1;;;1;0;2;2;;;;2.19;;;;100;5.61;1/4;89.4;0.0;6.0;4.6;Renta Variable (>50% RV);166;140;150;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113573036&language=es&currency=EUR&channel=nbol;2026-08-28
ES0113573002;Bankinter Platea Megatendencias R FI;Bankinter Platea Megatendencias R FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;2;2.15;10;True;False;2019-07-30;161.4039;2026-08-25;0.32;-0.86;2.16;2;10.49;13.9;20.15;12.31;3.58;;6.8;11.15;11.86;-22.45;15.04;14.27;;3;;39898.2067;20.29801;3.02;2.46;;7;0.10051;89.72;-0.78;4.72;-3.86;-5.88;-6.35;;1.29;1.28;1.21;;Morningstar EU Agg Gbl Tgt Alloc NR EUR;0.19;-1.77;0.7;-0.76;2.56;1.53;2.44;-2.86;-5.27;;1.19;0.6;0.18;;2.59;0.97;0.26;;5;12.8;12.38;13.72;;-4.47;-11.99;-22.6;;2.15;1.3;1;0;0;0.24;0.1;;;1;0;0;0;2;3;;4.51;1.03;0.16;;83;-22.45;1/4;89.4;0.0;6.0;4.6;Renta Variable (>50% RV);166;140;150;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113573002&language=es&currency=EUR&channel=nbol;2026-08-28
