Isin;Name;LegalName;ProviderCompanyName;GlobalAssetClass;GlobalCategoryName;CategoryName;Currency;DomicileName;SRRI;StarRatingM255;ExpenseRatio;ManagementFee;ReturnM0;ReturnM12;ReturnM36;ReturnM60;InceptionDate;UCITS;IndexFund;InitialPurchase;fecha
LU2743114956;UI - Aktia EM Local Ccy Bd+ Share R Acc;UI - Aktia EM Local Currency Bond+ - share class R Acc;;;;;EUR;Luxemburgo;;;;;;;;;2026-04-27;False;False;;2026-09-08
LU1594335520;Allianz Dyn MltAst Stgy SRI75 AT EUR;Allianz Global Investors Fund - Allianz Dynamic Multi Asset Strategy SRI 75 AT EUR;Allianz Global Investors GmbH;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;Luxemburgo;5;5;1.65;1.85;12.12;24.34;15.29;8.69;2017-05-02;True;False;0;2026-09-08
LU0352312853;Allianz Strategy 75 CT EUR;Allianz Strategy 75 CT EUR;Allianz Global Investors GmbH;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;Luxemburgo;5;3;1.5;1.65;9.23;16.24;12.2;5.67;2008-07-01;True;False;0;2026-09-08
LU0048293368;BL-Global 75 B EUR;BL-Global 75 B EUR Acc;BLI - Banque de Luxembourg Investments SA;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;Luxemburgo;4;3;1.43;1.25;6.65;16.28;10.83;5.93;1993-10-28;True;False;0;2026-09-08
ES0113569018;Bankinter Platea Agresivo A FI;Bankinter Platea Agresivo A FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;5;4;2.87;1.35;10.69;17.24;12.41;6.73;2017-09-29;True;False;50000;2026-09-08
ES0113569000;Bankinter Platea Agresivo B FI;Bankinter Platea Agresivo B FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;5;4;2.87;1.25;10.78;17.39;12.48;6.82;2015-11-20;True;False;200000;2026-09-08
ES0113569026;Bankinter Platea Agresivo R FI;Bankinter Platea Agresivo R FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;5;4;2.16;1.55;11.42;18.48;13.03;7.02;2020-03-17;True;False;10;2026-09-08
ES0113573028;Bankinter Platea Megatendencias A FI;Bankinter Platea Megatendencias A FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;;;4.19;1.25;12.71;19.47;;;2024-09-06;True;False;50000;2026-09-08
ES0113573036;Bankinter Platea Megatendencias B FI;Bankinter Platea Megatendencias B FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;;;0;1.15;9.11;15.84;;;2024-09-06;True;False;200000;2026-09-08
ES0113573002;Bankinter Platea Megatendencias R FI;Bankinter Platea Megatendencias R FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;7;2;2.75;1.3;13.07;20.14;11.11;3.22;2019-07-30;True;False;10;2026-09-08
ES0135705012;Bankinter Premium Agresivo A FI;Bankinter Premium Agresivo A FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;6;4;1.62;1.4;12.58;19.71;13.7;7.7;2017-06-23;True;False;50000;2026-09-08
ES0135705004;Bankinter Premium Agresivo B FI;Bankinter Premium Agresivo B FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;6;4;0.97;0.75;13.08;20.49;14.46;8.46;2016-07-15;True;False;500000;2026-09-08
ES0135705038;Bankinter Premium Agresivo D FI;Bankinter Premium Agresivo D FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;6;3;1.62;1.4;12.58;16.71;11.78;;2022-03-25;True;False;50000;2026-09-08
ES0135705020;Bankinter Premium Agresivo R FI;Bankinter Premium Agresivo R FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;6;4;1.77;1.55;12.47;19.53;13.53;7.54;2021-07-02;True;False;10000;2026-09-08
ES0113734018;Bankinter Premium Dinámico A FI;Bankinter Premium Dinámico A FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;5;3;1.44;1.25;7.57;11.9;9.61;5.09;2017-09-15;True;False;50000;2026-09-08
ES0113734000;Bankinter Premium Dinámico B FI;Bankinter Premium Dinámico B FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;5;3;0.89;0.7;7.97;12.52;10.23;5.72;2016-07-15;True;False;500000;2026-09-08
ES0113734034;Bankinter Premium Dinámico D FI;Bankinter Premium Dinámico D FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;5;2;1.44;1.25;7.57;9.66;8.13;;2022-03-25;True;False;50000;2026-09-08
ES0113734026;Bankinter Premium Dinámico R FI;Bankinter Premium Dinámico R FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;España;5;3;1.54;1.35;7.49;11.79;9.5;4.99;2021-07-02;True;False;10000;2026-09-08
LU1431864153;Fidelity Global Multi Asset Dyn ADisEURH;Fidelity Funds - Global Multi Asset Dynamic Fund A-DIST-EUR (EUR/USD hedged);FIL Investment Management (Luxembourg) S.à r.l.;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;Luxemburgo;5;2;;1.5;12.84;22.28;14.73;3.59;2016-06-30;True;False;;2026-09-08
LU0433182416;First Eagle Amundi International AHE-C;First Eagle Amundi International Fund Class AHE-C Shares;First Eagle Investment Management, LLC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;Luxemburgo;5;3;3.01;2;8.53;17.68;13.82;6.73;2009-08-19;True;False;0;2026-09-08
LU0565134938;First Eagle Amundi International AHE-QD;First Eagle Amundi International Fund Class AHE-QD Shares;First Eagle Investment Management, LLC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;Luxemburgo;5;3;2.44;2;8.98;18.18;13.98;6.82;2011-06-09;True;False;0;2026-09-08
LU1245471567;FvS Multi Asset Growth ET;Flossbach von Storch - Multi Asset Growth ET;Flossbach von Storch Invest S.A.;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;Luxemburgo;5;2;2;1.87;2.49;6.68;7.86;3.11;2015-07-13;True;False;0;2026-09-08
LU0119195450;GS Patrimonial Aggr-P Cap EUR;Goldman Sachs Patrimonial Aggressive - P Cap EUR;Goldman Sachs Asset Management B.V.;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;EUR;Luxemburgo;5;4;;1.2;9.58;14.52;11.43;6.06;1994-07-15;True;False;0;2026-09-08
