Isin;Name;LegalName;ProviderCompanyName;GlobalAssetClass;GlobalCategoryName;CategoryName;InvestmentType;Currency;DomicileName;SRRI;StarRatingM255;TER;InitialPurchase;UCITS;IndexFund;InceptionDate;CutOffTime;TimeHorizon;VL;VLDate;ReturnD1;ReturnW1;ReturnM1;ReturnM3;ReturnM6;ReturnM0;ReturnM12;ReturnM36;ReturnM60;ReturnM120;YR_ReturnM12_1;YR_ReturnM12_2;YR_ReturnM12_3;YR_ReturnM12_4;YR_ReturnM12_5;YR_ReturnM12_6;YR_ReturnM12_7;EquityStyleBox;BondStyleBox;AverageMarketCapital;PERatio;PBRatio;PSRatio;DividendYield;AverageCreditQuality;EffectiveMaturity;R2M36;InformationRatioM36;TrackingErrorM36;AlphaM12;AlphaM36;AlphaM60;AlphaM120;BetaM12;BetaM36;BetaM60;BetaM120;BenchmarkName;ExcessD1;ExcessW1;ExcessM1;ExcessM3;ExcessM6;ExcessM0;ExcessM12;ExcessM36;ExcessM60;ExcessM120;SharpeM12;SharpeM36;SharpeM60;SharpeM120;SortinoM12;SortinoM36;SortinoM60;SortinoM120;MorningstarRiskM255;StandardDeviationM12;StandardDeviationM36;StandardDeviationM60;StandardDeviationM120;MaxDrawdownM12;MaxDrawdownM36;MaxDrawdownM60;MaxDrawdownM120;OngoingCostActual;ManagementFee;PerformanceFeeCharged;MaxFrontEndLoad;MaxRedemptionFee;TransactionFeeActual;CustodianFee;QuartileW1;QuartileM1;QuartileM3;QuartileM6;QuartileM0;QuartileM12;QuartileM36;QuartileM60;QuartileM120;CalmarM12;CalmarM36;CalmarM60;CalmarM120;YearsPositivePct;WorstYear;BeatCat;PctRV;PctRF;PctLiq;PctOtros;TipoPignor;PignCobertura;PignSalvaguarda;PignReposicion;FichaURL;fecha
LU2743114956;UI - Aktia EM Local Ccy Bd+ Share R Acc;UI - Aktia EM Local Currency Bond+ - share class R Acc;;;;;FO;EUR;Luxemburgo;;;;;False;False;2026-04-27;;;;;-0.12;0.48;-0.12;2.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=LU2743114956&language=es&currency=EUR&channel=nbol;2026-09-10
LU1594335520;Allianz Dyn MltAst Stgy SRI75 AT EUR;Allianz Global Investors Fund - Allianz Dynamic Multi Asset Strategy SRI 75 AT EUR;Allianz Global Investors GmbH;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;Luxemburgo;4;5;1.83;0;True;False;2017-05-02;;;;;-0.11;0.63;-0.34;3.1;6.92;11.99;23.31;15.43;8.7;9.35;12.09;17.08;14.85;-15.61;30.82;3.81;21.47;2;5;94850.86356;15.02848;2.59;1.89;0.0201;10;5.71063;86.4;0.21;4.45;1.06;-0.78;0.36;0.4;1.32;1.16;0.97;0.97;;;;;;;;;;;;1.61356;1.08453;0.6265;0.79017;;;;;4;13.27436;11.36498;11.49959;11.42027;-9.96144;-17.02326;-17.02326;-24.34975;1.83;1.85;0;5;0;0.12;;;;2;3;0;0;0;0;0;;0.91;;;86;-15.61;4/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=LU1594335520&language=es&currency=EUR&channel=nbol;2026-09-10
LU0352312853;Allianz Strategy 75 CT EUR;Allianz Strategy 75 CT EUR;Allianz Global Investors GmbH;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;Luxemburgo;3;3;1.55;0;True;False;2008-07-01;;;;;-0.43;-0.22;-1.15;4.73;7.69;8.76;15.85;12.22;5.68;6.89;8.44;12.84;18.01;-18.74;20.94;-3.65;22.89;2;4;206306.01665;17.87197;3.18;2.7;;6;1.64315;83.12;-0.5;5.13;-6.59;-4.08;-2.55;-1.5;1.37;1.18;1;0.93;;;;;;;;;;;;1.09217;0.78477;0.37925;0.59846;;;;;4;13.38968;11.80479;11.80366;11.28841;-9.5866;-16.05475;-20.98266;-20.98266;1.55;1.65;0;0;0;0.07;;;;0;2;2;1;1;1;1;;0.76;;;71;-18.74;3/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=LU0352312853&language=es&currency=EUR&channel=nbol;2026-09-10
LU0048293368;BL-Global 75 B EUR;BL-Global 75 B EUR Acc;BLI - Banque de Luxembourg Investments SA;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;Luxemburgo;3;3;1.42;0;True;False;1993-10-28;;;;;-0.07;-0.25;0.36;3.65;0.06;6.58;16;10.88;5.94;5.79;13.53;11.34;4.84;-9.2;12.34;2.57;19.11;2;;156578.63233;16.26977;4.17;3.33;;;;38.83;-0.46;7.73;0.52;1.35;0.62;0.9;0.99;0.6;0.52;0.49;;;;;;;;;;;;1.23819;0.92827;0.49878;0.69529;;;;;2;12.75726;8.67965;8.5275;7.64322;-10.08356;-10.08356;-11.22031;-18.07538;1.42;1.25;0;5;0;0.1;0.04;;;1;3;3;1;2;1;2;;1.08;;;86;-9.2;2/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=LU0048293368&language=es&currency=EUR&channel=nbol;2026-09-10
ES0113569018;Bankinter Platea Agresivo A FI;Bankinter Platea Agresivo A FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;4;1.92;50000;True;False;2017-09-29;;;;;0.14;0.03;-0.42;1.28;9.07;10.85;16.82;12.44;6.76;;8.6;13.74;15.19;-14.19;15.11;6.33;18.64;2;;157213.36523;16.75635;2.85;2.22;;;;94.8;-0.85;2.44;-4.35;-2.7;-1.93;;1.19;1.08;1.02;;;;;;;;;;;;;1.25464;0.94098;0.47069;;;;;;3;11.1895;10.12212;11.09415;;-7.57552;-16.8839;-16.8839;;1.92;1.35;1;0;0;0.23;0.1;;;3;1;1;1;1;1;;;0.74;;;86;-14.19;3/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113569018&language=es&currency=EUR&channel=nbol;2026-09-10
ES0113569000;Bankinter Platea Agresivo B FI;Bankinter Platea Agresivo B FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;4;1.82;200000;True;False;2015-11-20;;;;;0.14;0.03;-0.41;1.31;9.15;10.94;16.96;12.52;6.85;7.03;8.68;13.75;15.3;-14.1;15.33;6.48;18.77;2;;157213.36523;16.75635;2.85;2.22;;;;94.75;-0.81;2.45;-4.24;-2.64;-1.84;-2.13;1.19;1.09;1.02;0.98;;;;;;;;;;;;1.26449;0.94687;0.4786;0.60381;;;;;3;11.19926;10.1299;11.09168;10.99231;-7.56749;-16.87843;-16.87843;-27.73073;1.82;1.25;1;0;0;0.23;0.1;;;3;1;1;1;1;1;1;;0.74;;;86;-14.1;4/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113569000&language=es&currency=EUR&channel=nbol;2026-09-10
ES0113569026;Bankinter Platea Agresivo R FI;Bankinter Platea Agresivo R FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;4;2.12;10;True;False;2020-03-17;;;;;0.16;0.03;-0.48;1.32;9.71;11.59;18.02;13.07;7.05;;9.01;14.54;14.91;-14.4;16.03;;;2;;157213.36523;16.75635;2.85;2.22;;;;95.03;-0.56;2.59;-4.22;-2.55;-1.78;;1.25;1.12;1.04;;;;;;;;;;;;;1.28516;0.96575;0.48729;;;;;;3;11.75705;10.46772;11.33947;;-7.84334;-17.15715;-17.15715;;2.12;1.55;0;0;0;0.23;0.1;;;3;1;1;1;1;0;;;0.76;;;80;-14.4;3/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113569026&language=es&currency=EUR&channel=nbol;2026-09-10
ES0113573028;Bankinter Platea Megatendencias A FI;Bankinter Platea Megatendencias A FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;;2.1;50000;True;False;2024-09-06;;;;;0.3;-1.06;-0.58;-0.33;10.58;13.05;19.37;;;;6.5;;;;;;;3;1;42105.17776;20.18786;3.02;2.3;;7;0.10051;;;;-3.05;;;;1.29;;;;;;;;;;;;;;;1.32207;;;;;;;;;12.72642;;;;-6.37794;;;;2.1;1.25;1;;;0.24;0.1;;;3;0;0;0;;;;;;;;100;6.5;1/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113573028&language=es&currency=EUR&channel=nbol;2026-09-10
ES0113573036;Bankinter Platea Megatendencias B FI;Bankinter Platea Megatendencias B FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;;1.28;200000;True;False;2024-09-06;;;;;0.3;-1.06;-0.58;-0.04;10.22;9.43;15.74;;;;5.61;;;;;;;3;1;42105.17776;20.18786;3.02;2.3;;7;0.10051;;;;-6.11;;;;1.28;;;;;;;;;;;;;;;1.05185;;;;;;;;;13.04453;;;;-8.50582;;;;1.28;1.15;1;;;0.24;0.1;;;3;0;2;1;;;;;;;;100;5.61;0/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113573036&language=es&currency=EUR&channel=nbol;2026-09-10
ES0113573002;Bankinter Platea Megatendencias R FI;Bankinter Platea Megatendencias R FI;Bankinter Gestión de Activos SGIIC;Allocation;Aggressive Allocation;Mixtos Agresivos EUR - Global;FO;EUR;España;3;2;2.15;10;True;False;2019-07-30;;;;;0.3;-1.07;-0.6;-0.06;10.95;13.41;20.04;11.26;3.29;;6.8;11.15;11.86;-22.45;15.04;14.27;;3;1;42105.17776;20.18786;3.02;2.3;;7;0.10051;89.2;-0.63;4.75;-2.5;-5.45;-6.13;;1.29;1.28;1.21;;;;;;;;;;;;;1.36674;0.72808;0.17282;;;;;;5;12.71685;12.25743;13.71563;;-6.3936;-20.37009;-25.71286;;2.15;1.3;1;0;0;0.24;0.1;;;2;0;0;0;1;3;;;0.55;;;83;-22.45;1/4;;;;;Revisar (sin datos);;;;https://bancaonline.bankinter.com/resources/allfundssheets-enmenm/es/?isin=ES0113573002&language=es&currency=EUR&channel=nbol;2026-09-10
